,Symbol,priceEarningsRatio,returnOnEquity,priceEarningsToGrowthRatio,priceToSalesRatio,priceToBookRatio,debtEquityRatio,priceToFreeCashFlowsRatio,EPS,dividendPayoutRatio,Dividend Yield,Net Profit Margin,debtRatio,Dividends per Share Growth,10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Sector,2016 PRICE VAR [%],intercept
14,KMB,45.7914,-5.8218,40.728832920702,2.4856,0.0,-44.6839,36.9674,2.78,1.2556762092794,0.0277,0.0545,0.5239,-0.5671,0.0694,0.0592,0.0595,Consumer Defensive,-7.087421408010563,1
15,CPB,23.4178,0.4823,20.992540540541,1.9165,0.0,2.9558,18.5048,2.13,0.59159159159159,0.025,0.0824,0.5054,0.0,0.0626,0.0303,0.0247,Consumer Defensive,20.44386644702241,1
16,TGT,0.0,-0.1169,,0.6513,3.3844,0.9091,16.9886,-2.58,,0.0256,-0.0225,0.3091,0.2025,0.2027,0.2355,0.1998,Consumer Defensive,1.4253391429079385,1
17,HRL,26.0077,0.1716,24.27745173418,1.9308,12.1465,0.1088,20.6093,1.3,0.36560033115286,0.0148,0.0741,0.0708,0.25,0.1442,0.1895,0.1856,Consumer Defensive,-8.627693871495469,1
18,K,36.5114,0.2266,31.351515273472,1.5648,0.0,2.6425,18.8394,1.76,1.0759493670886,0.0296,0.0433,0.4864,0.0556,0.0652,0.0585,0.0439,Consumer Defensive,5.71740091129726,1
19,CAG,0.0,-0.0558,,1.4299,0.0,1.7465,10.1868,-0.6,,0.0331,-0.028,0.4533,0.0,-0.0075,0.0483,0.0172,Consumer Defensive,25.94575356766272,1
20,PEP,27.1375,0.4518,24.432417699927,2.3261,0.0,2.758,18.0541,3.71,0.74101247248716,0.0274,0.0865,0.4778,0.0904,0.1058,0.0788,0.091,Consumer Defensive,9.051033548138443,1
21,COST,25.8872,0.2239,23.872870594657,0.5297,5.7896,0.5778,32.5294,5.41,1.2053007993269,0.0465,0.0205,0.1858,3.8947,0.3122,0.5326,0.8489,Consumer Defensive,1.5097241118151274,1
22,COTY,48.4394,0.2397,44.439821505375996,2.6207,0.0,2.7167,31.7811,0.66,0.30537634408602005,0.0063,0.0529,0.4377,0.0,,0.0,0.0,Consumer Defensive,-25.38467684172081,1
23,MNST,51.18899999999999,0.1137,51.443780562724,11.0916,9.7477,0.0,58.4551,0.97,-0.0,0.0,0.2008,0.0,0.0,0.0,0.0,0.0,Consumer Defensive,-7.842596091439196,1
24,SJM,34.8108,0.0487,30.722327693778,2.0722,0.0,0.8707,23.8792,3.33,0.73644534647724,0.0216,0.0606,0.3672,0.1062,0.096,0.123,0.0997,Consumer Defensive,6.861839824054037,1
25,CL,43.5425,-4.6288,39.795018887237,3.7266,0.0,-21.8997,26.4628,1.53,1.0787572254335,0.0225,0.0863,0.5486,0.0563,0.1045,0.0812,0.0713,Consumer Defensive,3.4044048161436127,1
26,ADM,12.2676,0.1032,11.083022823148001,0.3233,1.5469,0.328,39.0832,2.99,0.37155219037317,0.0305,0.0273,0.1464,0.1667,0.1335,0.1407,0.1781,Consumer Defensive,31.399446909303414,1
27,DG,19.16,0.1866,18.156309234661,1.0761,119.8632,0.4773,21.387,3.5,-0.0,0.0,0.0563,0.2431,0.0,,0.0,0.0,Consumer Defensive,3.5788184271076466,1
28,TAP,44.0939,0.0561,40.905912753036,4.3561,55.2453,0.4171,38.4435,2.13,0.7677125506072899,0.0175,0.1108,0.2393,0.1081,0.0987,0.0871,0.0861,Consumer Defensive,5.439369288042512,1
29,SYY,32.3621,0.1306,29.218727406578,0.4579,7.1039,1.3919,21.4308,1.16,1.0123781802721,0.0314,0.0141,0.407,0.0351,0.0736,-0.0083,0.1383,Consumer Defensive,40.090863810225095,1
31,CHD,27.0318,0.2028,25.737511111111,3.2785,0.0,0.519,20.4442,1.57,0.4271442495126699,0.0158,0.1209,0.2467,0.0806,0.2729,0.3401,0.1176,Consumer Defensive,8.676289087055965,1
32,BG,13.284,0.1228,11.124220039213,0.2238,1.7074,0.7403,0.0,5.14,0.26169405815424,0.0211,0.0182,0.2662,0.125,0.099,0.1035,0.1146,Consumer Defensive,11.06581741194968,1
33,PBH,28.5933,0.1247,28.591506516739006,3.1373,0.0,2.4876,13.9714,1.5,-0.0,0.0,0.1095,0.591,0.0,0.0,0.0,0.0,Consumer Defensive,5.125094895979842,1
34,BIG,22.1587,0.1447,19.630469333877002,0.4759,3.1203,0.0787,10.8108,2.08,0.2435156988344,0.0111,0.0221,0.038,0.0,0.0,0.0,0.0,Consumer Defensive,33.1854999784493,1
35,STZ,26.3591,0.1454,25.369384008340006,3.7225,0.0,1.2644,61.8139,4.4,-0.0,0.0,0.1392,0.4834,0.0,0.0,0.0,0.0,Consumer Defensive,10.019642382905298,1
36,AVP,0.0,1.0734,,0.2862,0.0,-2.0608,63.1742,-2.6,,0.0593,-0.1865,0.5699,0.0,-0.0962,-0.2288,-0.316,Consumer Defensive,24.137936720077523,1
37,HMHC,0.0,-0.1117,,2.0656,0.0,0.6486,11.2244,-0.98,,0.0,-0.0945,0.249,0.0,,,0.0,Consumer Defensive,-46.99559968040028,1
38,POST,0.0,-0.0387,,0.6974,0.0,1.5023,9.7497,-2.33,,0.0,-0.0248,0.4879,0.0,,0.0,0.0,Consumer Defensive,32.85407638334159,1
39,EL,30.1951,0.2989,28.68121010101,3.0419,15.0392,0.446,22.3606,2.87,0.32139577594123,0.0106,0.101,0.1975,0.1795,0.1649,0.2732,0.2056,Consumer Defensive,-11.040689591045961,1
41,FLO,22.5119,0.1565,19.384870543249,1.0589,20.3539,0.6798,14.8113,0.84,0.58212462799948,0.0256,0.0469,0.3169,0.0901,0.1781,0.1004,0.0756,Consumer Defensive,-3.4623021197772257,1
42,PPC,9.012,0.5131,8.0720662447323,0.6568,5.4496,0.8057,6.893,2.5,2.3199218471809,0.2561,0.0738,0.3057,0.0,0.5787,0.0,0.0,Consumer Defensive,-3.0735095947814326,1
43,DLTR,24.8213,0.3357,24.790406310698,1.7268,9.1739,0.3825,24.0052,2.91,-0.0,0.0,0.0697,0.1955,0.0,0.0,0.0,0.0,Consumer Defensive,-2.0682620275506247,1
44,GNC,11.8851,0.468,11.414966000757001,0.9555,0.0,3.0928,8.4333,2.61,0.27198938435652,0.0232,0.0817,0.5673,0.125,,0.0,0.1784,Consumer Defensive,-63.22571162219307,1
45,BTI,16.2159,0.8766,,8.4345,,,31.515,3.4056,,0.0608,0.3274,,,,,,Consumer Defensive,11.74974257401836,1
46,DF,0.0,-0.0156,,0.1929,5.079,1.5299,6.0584,-0.09,,0.0163,-0.001,0.3312,0.0,0.0,0.0,0.0,Consumer Defensive,30.65849166232736,1
47,HLF,13.0462,-6.3383,13.061079327632001,1.1102,0.0,-30.3178,8.0571,2.055,-0.0,0.0,0.0759,0.6546,-1.0,0.0,-1.0,-1.0,Consumer Defensive,-12.361188563269597,1
48,TWNK,0.0,-0.1354,,1.1105,0.0,-1.9335,1.3682,0.86,,0.0,0.1392,1.8693,,,,,Consumer Defensive,30.0,1
49,BUD,24.7525,0.1963,21.241393351707,4.6682,30.357,1.1739,20.5468,5.05,0.96289133325275,0.0632,0.1921,0.3674,0.2138,0.0,0.7206,0.7124,Consumer Defensive,-10.9270917672808,1
50,CHGG,0.0,-0.2562,,1.9625,4.5248,0.0,0.0,-0.68,,0.0,-0.1965,0.0,0.0,,0.0,0.0,Consumer Defensive,18.269236941309604,1
51,AGRO,0.0,-0.0108,,2.2049,,1.3908,85.7999,-0.046,,0.0,-0.0083,0.5337,0.0,,0.0,0.0,Consumer Defensive,-12.846345529581521,1
52,CASY,17.6352,0.2064,17.102054336315998,0.4111,4.2674,0.9753,0.0,4.66,0.16705604889607,0.0097,0.0233,0.3456,0.1111,0.1746,0.1866,0.1006,Consumer Defensive,3.6472425947938327,1
53,MGPI,17.5338,0.2255,16.476298528348998,1.3214,3.696,0.2881,0.0,1.48,0.04150280630751,0.0023,0.0799,0.1722,0.2,-0.0876,0.0,0.0627,Consumer Defensive,104.882896031619,1
54,EDU,19.4797,0.1582,18.929741616224998,3.0318,,0.0,11.6927,1.23,-0.0,0.0,0.1548,0.0,-1.0,0.0,0.0,0.0,Consumer Defensive,42.954157359070216,1
55,TSN,14.6765,0.1259,14.06920204918,0.4064,0.0,0.6903,10.5994,3.06,0.12049180327869,0.0084,0.0295,0.2913,0.25,0.0889,0.1857,0.3283,Consumer Defensive,17.683156459555608,1
56,MKC,27.3631,0.2163,28.299238858807996,2.5608,0.0,0.8266,23.8134,3.14,0.56152370512469,0.0186,0.0849,0.3118,0.0811,0.096,0.09,0.0887,Consumer Defensive,12.741085740161749,1
57,COT,62.8182,0.0199,55.23812622222201,0.3057,0.0,3.2736,132.2447,0.11,2.1111111111111,0.034,0.0051,0.5773,-0.1897,0.0,0.0,0.0,Consumer Defensive,4.963288093336474,1
58,HAIN,40.6543,0.0955,40.604257829076,2.5893,0.0,0.4885,49.8876,1.62,-0.0,0.0,0.0632,0.2723,0.0,0.0,0.0,0.0,Consumer Defensive,-1.8607032183786107,1
59,HSY,40.7626,0.514,34.558290923411995,2.62,0.0,2.4254,21.4866,2.19,0.92822121411207,0.025,0.0694,0.4529,0.0961,0.0917,0.118,0.1275,Consumer Defensive,20.48078624041033,1
60,BGS,38.0789,0.1212,30.439957749656,1.8314,0.0,3.0351,19.3884,0.76,1.7669938470554,0.047,0.0483,0.622,0.1057,0.0,0.1487,0.1651,Consumer Defensive,34.496164402354914,1
61,PFGC,26.7606,0.1146,0.0,0.1257,0.0,3.1418,19.0407,0.65,-0.0,0.0,0.0037,0.4619,0.0,,,0.0,Consumer Defensive,7.09504758328458,1
62,UN,23.0622,0.318,,2.3304,,0.9484,16.0534,1.8784,,0.0331,0.0921,0.28,-0.2139,,,,Consumer Defensive,0.33785162166113064,1
63,CHEF,27.381,0.0862,27.171939478067998,0.4332,0.0,1.4557,27.4053,0.63,-0.0,0.0,0.0155,0.4719,0.0,,0.0,0.0,Consumer Defensive,-0.6913869122075349,1
64,PRMW,114.2857,0.0711,108.51911685514,1.6248,11.4209,0.7681,34.7209,0.07,-0.0,0.0,0.0146,0.3113,0.0,,0.0,0.0,Consumer Defensive,50.85994121664235,1
65,FRPT,0.0,-0.0357,,2.4489,2.7383,0.0,0.0,-0.11,,0.0,-0.0319,0.0,0.0,,,0.0,Consumer Defensive,21.41148367659716,1
66,FMX,180.9011,0.0974,10.707625720038001,0.6405,,0.5347,6.9712,0.5105,0.60515749589999,0.0009,0.0568,0.2371,0.0,,0.0979,-0.0894,Consumer Defensive,-14.900085018059634,1
67,CLX,23.3753,4.9153,21.064521631034,2.4129,0.0,18.5678,18.0973,4.45,0.66379310344828,0.0285,0.1026,0.5262,0.0423,0.1041,0.0816,0.0724,Consumer Defensive,-1.7944973298966425,1
68,VGR,48.6406,-0.2873,38.532415692887994,1.7451,0.0,-4.1982,23.9197,0.399,3.1783337274908,0.0662,0.0357,0.6755,0.0762,-0.0063,0.0715,0.0839,Consumer Defensive,12.605302006458373,1
69,SPB,0.0,-0.949,,0.4946,0.0,10.2004,10.3936,-17.426,,0.0,-0.1171,0.1708,0.0,,0.0,0.0,Consumer Defensive,19.72470386162484,1
70,PETS,18.9885,0.2314,16.292161834642002,1.4593,4.4404,0.0,10.6232,0.87,0.7910960866326701,0.0412,0.0761,0.0,0.0303,0.0,0.1778,0.0901,Consumer Defensive,43.35483821673303,1
71,THS,29.3858,0.0619,29.431035683203,1.0545,0.0,0.6667,16.4877,2.67,-0.0,0.0,0.0358,0.334,0.0,0.0,0.0,0.0,Consumer Defensive,-5.150437705307496,1
72,OLLI,34.6721,0.0646,0.0,1.7564,0.0,0.7708,57.1554,0.56,2.15311164778,0.0,0.0422,0.3503,0.0,,,,Consumer Defensive,64.16619093011147,1
73,BURL,55.9551,-1.0001,55.9507209461,0.7659,0.0,-18.9602,45.2628,0.89,-0.0,0.0,0.0136,0.4764,0.0,,,0.0,Consumer Defensive,96.13515805524416,1
74,IPAR,24.3061,0.0833,22.890927735519,1.5763,4.4973,0.2697,0.0,0.98,0.51930216512797,0.0218,0.065,0.1434,0.0833,0.1713,0.1487,0.1757,Consumer Defensive,45.687086307719895,1
75,INGR,17.0534,0.1875,16.025504875622,1.2199,6.0566,0.8573,16.9018,5.62,0.31343283582090004,0.0182,0.0715,0.3622,0.0357,0.2004,0.2545,0.2367,Consumer Defensive,36.79540816381361,1
76,SAFM,7.4842,0.2097,7.0651263051444015,0.5696,1.5507,0.0097,11.1679,9.52,0.14394377803806,0.0124,0.077,0.008,-0.3333,0.0768,0.0726,0.0897,Consumer Defensive,28.400545124382486,1
77,DEO,19.4216,0.3064,109.70102948341,29.557,,1.3431,101.7675,5.9748,0.5632087358252701,0.0762,0.2202,0.4045,0.6799,0.0904,0.2014,0.2826,Consumer Defensive,-0.7559065725353579,1
78,UNFI,16.5451,0.1005,16.52415723615,0.2805,2.3221,0.3965,0.0,2.77,-0.0,0.0,0.0169,0.2155,0.0,0.0,0.0,0.0,Consumer Defensive,23.307494263415,1
79,UL,22.9557,0.318,,2.3263,,0.9484,16.0257,1.8784,,0.0331,0.0921,0.28,-0.2168,,,,Consumer Defensive,-0.4720539426880493,1
80,LOPE,14.028,0.2153,14.036245063199,2.4303,3.0410000000000004,0.1333,0.0,2.86,-0.0,0.0,0.1689,0.0912,0.0,0.0,0.0,0.0,Consumer Defensive,51.50336440857957,1
82,CCU,23.4746,0.1328,0.051801968457733,0.0053,,0.171,0.0864,0.9227,0.47071245173218,0.0,0.0938,0.0991,-0.375,-0.1098,-0.3467,-0.4369,Consumer Defensive,0.03017138648609701,1
83,CALM,17.1015,0.2292,16.003203562082,1.7619,4.1362,0.0723,23.8627,3.35,0.30331030548079,0.0176,0.1023,0.0548,0.9804,0.4476,0.2035,0.3419,Consumer Defensive,-5.1204564048010415,1
84,CORE,36.5804,0.1043,35.214537087379,0.1706,4.2863,0.1814,49.164,1.12,0.24854368932039,0.0067,0.0047,0.0832,0.1957,0.0,0.0,0.0724,Consumer Defensive,10.677461049016946,1
85,CRESY,6.2638,0.0,,1.1861,,1.0338,2.0769,2.0786,,0.0,0.0,0.2616,-1.0,-1.0,-1.0,-1.0,Consumer Defensive,24.86144167831543,1
86,FIZZ,21.1415,0.3337,19.512609831478,1.6091,7.8131,0.0677,21.5089,1.06,-0.0,0.0,0.0764,0.0404,0.0,0.0,-1.0,0.0,Consumer Defensive,24.24725802342075,1
87,UVV,10.8915,0.0841,7.9752787913584,0.4695,0.8452,0.3154,6.2607,4.33,0.41303399413653,0.0435,0.0504,0.1964,0.0199,0.0257,0.0207,0.0203,Consumer Defensive,20.677554026793427,1
88,NUS,16.5459,0.1611,15.044712818123,0.965,3.3294,0.3023,8.2773,2.29,0.6102175187529101,0.0369,0.0592,0.1658,0.0072,0.1455,0.2214,0.2051,Consumer Defensive,30.845691797448183,1
89,PSMT,28.8169,0.1573,27.584717562048002,0.9155,4.7878,0.1714,122.195,2.95,0.23704052780396,0.0082,0.0318,0.098,0.0,0.0,0.0696,0.0527,Consumer Defensive,4.715039424575456,1
90,CENTA,,,,,,,,0.66,,,0.019382192610539,,,,,,Consumer Defensive,134.4461221779779,1
91,LBY,7.0132,0.447,6.356902761822901,0.5643,0.0,2.9048,21.5781,3.04,0.14467911899055,0.0206,0.0804,0.5056,0.0,0.0096,0.0,0.0,Consumer Defensive,-4.3538049239381404,1
92,ELF,0.0,-0.0721,0.0,5.8226,0.0,-2.3994,1.5146,-1559.81,-0.0,0.0,0.0228,0.4014,0.0,,,,Consumer Defensive,9.207549185123083,1
93,HELE,17.0174,0.145,17.019194977279998,1.5365,0.0,0.4789,12.9227,4.59,-0.0,0.0,0.0908,0.262,0.0,0.0,0.0,0.0,Consumer Defensive,-6.1145082674819164,1
94,CVGW,32.949,0.1462,31.187592337954,1.0495,5.337999999999999,0.2135,46.6363,1.57,0.47689253281371,0.0145,0.0317,0.1393,0.0714,0.096,0.0845,0.1089,Consumer Defensive,28.4925701307814,1
95,TUES,46.9583,0.0471,47.164390948483,0.5478,2.232,0.0,0.0,0.24,-0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,Consumer Defensive,-15.887849981387012,1
96,TEDU,20.4106,,,0.5302,,,5.8809,0.5115,,0.0,0.1814,,,,,,Consumer Defensive,51.100710194331896,1
97,ATGE,13.8157,0.0883,13.334746467094,1.0002,2.6953,0.0,16.3561,2.17,0.16604836346221,0.012,0.0732,0.0,0.0588,0.0,0.1247,0.0627,Consumer Defensive,27.435188760876397,1
98,UTI,0.0,-0.0806,,0.2336,0.8048,0.3947,0.0,-0.38,,0.0912,-0.0252,0.1633,-0.2,0.0,-0.2658,0.0217,Consumer Defensive,-32.50162338865334,1
99,CENT,23.6061,0.0633,23.665070219887,0.4706,3.4107,0.7857,11.5654,0.66,-0.0,0.0,0.0194,0.3508,0.0,0.0,0.0,0.0,Consumer Defensive,148.4234302606309,1
100,SPTN,16.4359,0.0784,14.695132319954,0.1214,2.1366,0.7632,16.0049,1.56,0.30872414499283,0.0187,0.0074,0.2951,0.5,0.0,0.1914,0.3389,Consumer Defensive,93.73810382798912,1
101,STKL,55.45,0.0385,56.747571478513,0.6742,2.496,0.2437,104.0663,0.2,-0.0,0.0,0.0119,0.1295,0.0,0.0,0.0,0.0,Consumer Defensive,7.4695160400825245,1
102,LANC,24.422,0.175,21.795943492712997,2.2502,6.3742,0.0,21.6661,3.72,0.48952658183034,0.02,0.0921,0.0,0.0581,0.0639,0.0896,0.0888,Consumer Defensive,27.3695893933865,1
103,SAM,27.3284,0.2134,27.185014428841,2.7432,5.7364,0.0011,28.3422,7.46,-0.0,0.0,0.1025,0.0008,0.0,0.0,0.0,0.0,Consumer Defensive,-14.755329433618257,1
104,WMK,20.7647,0.0681,19.015381187239,0.4291,1.4882,0.0,25.4761,2.21,0.54404180010113,0.0261,0.0206,0.0,0.0,-0.0153,0.0068,0.0,Consumer Defensive,58.58250899280576,1
105,STRA,15.9048,0.2802,15.428670744322,1.526,4.6812,0.0,9.8148,3.78,-0.0,0.0,0.0921,0.0,0.0,-1.0,-1.0,-1.0,Consumer Defensive,36.93952955169899,1
106,GPX,22.8273,0.1187,22.866150407153,0.8721,14.1483,0.3696,18.521,1.1,-0.0,0.0,0.0383,0.1932,0.0,0.0,0.0,0.0,Consumer Defensive,16.687066970192678,1
107,APEI,9.5928,0.1367,9.574269142962901,0.9232,1.5161,0.0,10.0078,1.94,-0.0,0.0,0.0989,0.0,0.0,0.0,0.0,0.0,Consumer Defensive,33.35143639619061,1
108,KOF,24.7078,0.0977,13.10497990118,0.9634,,0.6497,11.3874,2.8659,0.62686858817777,0.0016,0.0672,0.3237,-0.2254,0.1499,0.0421,-0.1025,Consumer Defensive,-6.1721123461460845,1
110,USNA,17.5086,0.333,17.519746920507,1.582,7.3083,0.0,15.8379,2.9,-0.0,0.0,0.0969,0.0,0.0,0.0,0.0,0.0,Consumer Defensive,-3.781147388736096,1
111,NAUH,11.6296,0.1276,9.6023621947439,0.6709,1.526,0.2298,7.0761,0.27,0.6749553305539,0.0573,0.057,0.1398,0.0286,,-0.0087,0.1292,Consumer Defensive,1.5131742754263484,1
112,IMKTA,15.0199,0.1384,14.417954931981999,0.2432,2.1423,2.0655,17.0862,3.02,0.21863870583524,0.0146,0.0157,0.5354,0.0,0.0292,0.0,0.0,Consumer Defensive,27.633528777203804,1
113,CECO,4.7763,0.1537,4.7476496097138,0.2913,1.0251,0.1126,0.0,0.76,-0.0,0.0,0.0612,0.0622,0.0,0.0,0.0,0.0,Consumer Defensive,209.50920804003042,1
114,TR,29.2013,0.0947,29.218593638094,3.582,4.2675,0.0116,25.6628,0.99,0.31434883263478003,0.0111,0.1224,0.0089,0.1268,-0.0976,-0.2058,-0.1868,Consumer Defensive,33.7963746390015,1
115,TPB,9.2,-0.1121,0.0,0.8952,0.0,-3.5833,4.3264,1.27,-0.0,0.0,0.0464,1.2061,0.0,,,,Consumer Defensive,21.04743184930918,1
116,ANDE,0.0,-0.0171,,0.2109,1.5268,0.6294,10.8448,-0.46,,0.0182,-0.0031,0.2039,0.2234,0.1777,0.1784,0.1221,Consumer Defensive,48.33368806126243,1
117,VLGEA,11.4508,0.1211,11.227440726346,0.2499,1.6445,0.1793,0.0,2.44,0.41074461136512,0.0358,0.0193,0.1049,0.0,0.2147,0.0061,0.0557,Consumer Defensive,25.04584586004981,1
118,REV,26.0187,-0.0955,26.019330002139,0.7627,0.0,-3.1064,13.294,1.07,-0.0,0.0,0.0293,0.9277,0.0,0.0,0.0,0.0,Consumer Defensive,6.659347603018287,1
119,JBSS,20.6844,0.1215,17.990476563747002,0.6828,2.5466,0.4056,0.0,2.63,0.5718819314110201,0.0276,0.033,0.2266,0.0,0.0,0.0,0.0,Consumer Defensive,46.01897619433047,1
120,LRN,43.6207,0.0205,42.977038391882,0.5118,1.4384,0.0552,8.0938,0.29,-0.0,0.0,0.0116,0.0419,0.0,,0.0,0.0,Consumer Defensive,100.70174812402227,1
121,HLG,2578.3419,0.2021,24.758330141713,1958.9586,,0.0,11043.9636,1.0084,-0.0,0.0,0.2739,0.0,0.0,,,,Consumer Defensive,-23.437504035731,1
122,JJSF,30.5186,0.117,29.102200988843002,2.1979,4.5862,0.0024,37.5724,3.76,0.37265434649417,0.0125,0.0719,0.002,0.125,0.1914,0.2734,0.4043,Consumer Defensive,19.605490766014515,1
123,RIBT,0.0,-1.1376,,0.4539,6.2813,2.1957,0.0,-0.9,,0.0,-0.2072,0.4744,0.0,0.0,0.0,0.0,Consumer Defensive,-47.44898207432917,1
124,FC,25.3485,0.0886,25.19734256927,1.32,5.2772,0.2078,12.9805,0.66,-0.0,0.0,0.0529,0.13,0.0,0.0,0.0,0.0,Consumer Defensive,20.298505185255358,1
125,LNDC,28.76,0.062,28.543408151211,0.7186,3.4429,0.1947,37.9831,0.5,-0.0,0.0,0.0251,0.1227,0.0,0.0,0.0,0.0,Consumer Defensive,18.454941138236943,1
126,LMNR,35.0217,0.0584,30.866821434623,2.2691,1.8772,0.7394,0.0,0.46,0.35851454391415,0.0112,0.0706,0.3329,0.0909,,0.2336,0.1117,Consumer Defensive,52.07006518671008,1
127,CELH,0.0,-0.2459,,4.3567,8.527999999999999,0.5146,0.0,-0.08,,0.0,-0.1249,0.2948,0.0,,,,Consumer Defensive,24.3654828478409,1
128,FARM,587.5,0.0072,581.28655674847,0.7163,4.4868,0.0658,47.452,0.04,-0.0,0.0,0.0012,0.0246,0.0,-1.0,-1.0,0.0,Consumer Defensive,24.533429311308627,1
129,BREW,69.75,0.0187,72.273327321912,0.7859999999999999,1.8291,0.1642,0.0,0.12,-0.0,0.0,0.0109,0.1024,0.0,0.0,0.0,0.0,Consumer Defensive,105.84652302078024,1
130,SEED,0.0,-0.0572,,100.5599,,1.1815,0.8320000000000001,-0.9584,,0.0,-45.57100000000001,0.2891,0.0,0.0,0.0,0.0,Consumer Defensive,71.0144931542425,1
131,ANFI,6.0952,0.2179,7.742697022782,0.4659,,1.1275,65.6105,1.47,-0.0,0.0,0.0602,0.4386,0.0,,0.0,0.0,Consumer Defensive,-34.154175643525946,1
132,DL,18.7941,0.2706,63.93775058491,16.8648,,0.1813,55.3104,0.68,1.147560330444,0.0626,0.2272,0.0946,0.3333,0.0,0.0,0.1856,Consumer Defensive,-17.246486841855248,1
134,LBCC,0.0,-2.2772,,8.1447,9.1636,0.9028,0.0,-0.85,,0.0,-1.6745,0.336,0.0,,,,Consumer Defensive,-24.043711290635823,1
135,SENEA,32.7582,0.0281,32.32186064552,0.2487,0.9097,0.8076,0.0,0.91,-0.0,0.0,0.0077,0.3522,0.0,0.0,0.0,0.0,Consumer Defensive,40.47702180124223,1
136,CHSCM,,,,,,,,,,,0.022584003238679,,,,,,Consumer Defensive,4.648478186298872,1
137,CHSCN,,,,,,,,,,,0.022584003238679,,,,,,Consumer Defensive,3.1642402079206127,1
138,BRID,5.3529,0.4332,5.3619059836809,0.634,2.3202,0.0,13.5558,1.7,-0.0,0.0,0.1184,0.0,0.0,0.0,-1.0,0.0,Consumer Defensive,29.35153509559473,1
139,CHSCL,,,,,,,,,,,0.022584003238679,,,,,,Consumer Defensive,7.309847442929006,1
